agent_name,agency_name,company,agent_type,website,phone_number,email,street_address,city,state,county,zip_code,date_pulled,source
,Farm Bureau Financial Services,Farm Bureau Financial Services,Captive,https://www.fbfs.com/find-an-agent?s=66112&t=zip,(913) 299-0900,,9340 Parallel Pkwy,Kansas City,KS,Wyandotte,66112,2026-08-23,"Google Places API (live query ""Farm Bureau Financial Services in Kansas City, KS"", 2026-08-23); fbfs.com's own agent-finder is a client-rendered SPA so the specific named agent at this office could not be confirmed and was left blank rather than guessed"
Aaron Mendoza,Farm Bureau Financial Services: Aaron Mendoza,Farm Bureau Financial Services,Captive,https://www.fbfs.com/find-an-agent/aaronmendoza,(913) 202-7320,,129 N Nettleton Ave,Bonner Springs,KS,Wyandotte,66012,2026-08-23,"fbfs.com agent profile page (direct fetch, JSON-LD confirms name/address/phone) cross-verified against Google Places; merged with a duplicate unnamed ""Farm Bureau Financial Services"" Google Places listing at the same address"
Matthew Gorman,Farm Bureau Financial Services: Matt Gorman,Farm Bureau Financial Services,Captive,https://www.fbfs.com/find-an-agent/matthewgorman,(913) 262-2333,,2707 S 47th St,Kansas City,KS,Wyandotte,66106-3629,2026-08-23,"fbfs.com agent profile page (direct fetch, JSON-LD confirms name/address/phone) cross-verified against Google Places (live query ""Farm Bureau Financial Services in Kansas City, KS"", 2026-08-23)"
,Farm Bureau Insurance,Kansas Farm Bureau Mutual Insurance Company,Captive,,(913) 422-7005,,300 Oak St,Bonner Springs,KS,Wyandotte,66012,2026-08-23,"Zip 66012 confirms Bonner Springs, KS. Name matches Kansas Farm Bureau's standard local-agency naming convention (KFB Insurance, single-carrier captive, offers personal auto in every KS county); listed website resolved to an unrelated third-party lead marketplace so it was dropped rather than kept as unverified."
Gregory Darnell,Farmers Insurance - Gregory Darnell,Farmers Insurance,Captive,http://agents.farmers.com/ks/bonner-springs/gregory-darnell,(913) 422-7077,,144 N Nettleton Ave,Bonner Springs,KS,Wyandotte,66012,2026-08-23,"Zip 66012 confirms Bonner Springs, KS (not MO). Verified via live Farmers.com agent-locator page at agents.farmers.com/ks/bonner-springs/gregory-darnell, confirming a Farmers-branded agent at this address; Farmers is a single-carrier captive insurer offering personal auto."
John Amaro,Farmers Insurance - John Amaro,Farmers Insurance,Captive,https://agents.farmers.com/ks/kansas-city/john-amaro/,(913) 871-5103,,"630 Minnesota Ave, Suite 105",Kansas City,KS,Wyandotte,66101,2026-08-23,"Farmers official agent locator (agents.farmers.com/ks/kansas-city) and agent's individual page; address confirmed on KS side (66101, Wyandotte County), not Kansas City, MO"
Shawn McAllister,Farmers Insurance - Shawn McAllister,Farmers Insurance,Captive,https://agents.farmers.com/ks/kansas-city/shawn-mcallister/,(913) 788-8288,,"7940 Parallel Pkwy, Ste 1",Kansas City,KS,Wyandotte,66112,2026-08-23,"Farmers official agent locator (agents.farmers.com/ks/kansas-city) and agent's individual page; page states service area of Wyandotte and Johnson County, KS; address confirmed on KS side (66112), not Kansas City, MO"
,Fountain City Insurance & Accounting,Independent / Multiple Carriers,Independent,https://fountaincity.llc,(816) 493-4443,,4629 Shawnee Dr,Kansas City,KS,Wyandotte,66106,2026-08-23,"BBB.org business search (bbb.org, address confirmed on KS side) + web search summary of fountaincity.llc describing the agency as 'home and auto insurance specialists' that 'shop multiple carriers to find you the best rates'"
,Freeway Insurance,Freeway Insurance (Confie),Independent,https://locations.freeway.com/freeway-insurance-kansas-city-ks-66101,(913) 774-1014,,1020 Minnesota Ave,Kansas City,KS,Wyandotte,66101,2026-08-23,"Superpages listing (address/phone) cross-verified against Freeway Insurance's own official location page (locations.freeway.com/freeway-insurance-kansas-city-ks-66101), which confirms this exact address, phone (913) 774-1014, and an active storefront (4.9 rating, 228 reviews) via schema.org JSON-LD. Freeway is a Confie-owned non-standard/multi-carrier retail auto insurance chain, matching the task's target chain list. Note: OpenStreetMap and an older directory listing show a defunct 'Redrock Insurance' (a Las Vegas, NV company's stale listing) at this same address; Freeway Insurance is the current, verified occupant."
,Fusion Insurance Agency (Prescott Plaza),"Independent (American Modern, Dairyland, Progressive, Safeco, and others)",Independent,https://www.fiagency.com,(913) 204-0404,,"151 S 18th St, Suite E",Kansas City,KS,Wyandotte,66102,2026-08-23,"Web search + agency website (fiagency.com) listing the Prescott Plaza / 18th St location (distinct from their Kansas City, MO office) and confirming personal auto insurance and multi-carrier shopping"
Garrett Good,Garrett Good Ins Agency Inc,State Farm,Captive,https://www.ggoodsf.com,(913) 422-9900,,20 N 130th Ter,Bonner Springs,KS,Wyandotte,66012,2026-08-23,"State Farm official agent locator (statefarm.com/agent/us/ks/bonner-spgs), cross-verified against Google Places listing at same address/phone"
,Get Insured ASAP,Independent / Multiple Carriers,Independent,,(913) 263-3782,,1716 Quindaro Blvd,Kansas City,KS,Wyandotte,66104,2026-08-23,"BBB.org business search (bbb.org, category: Auto Insurance, A+ rating, address confirmed on KS side); no verifiable agency-owned website was found (a similarly-named insuredasap.com is a distinct, unrelated Illinois-based company and was not used for any details)"
Jane Webb,Jane Webb - State Farm Insurance Agent,State Farm,Captive,https://www.insuredbyjanewebb.com,(913) 334-0038,,9539 State Avenue,Kansas City,KS,Wyandotte,66111,2026-08-23,"State Farm official agent locator (statefarm.com/agent/us/ks/kansas-city and agent's individual page); address confirmed on KS side (66111, Wyandotte County), not Kansas City, MO"
Jim Million,Jim Million - State Farm Insurance Agent,State Farm,Captive,https://www.statefarm.com/agent/us/ks/bonner-spgs/jim-million-wflsw1ys000,(913) 422-5567,,"13100 Kansas Ave, Suite G",Bonner Springs,KS,Wyandotte,66012,2026-08-23,"State Farm official agent locator (statefarm.com/agent/us/ks/bonner-spgs), cross-verified against Google Places listing at same address/phone"
Larry Gallagher,"Kevin Gallagher Agency, Inc. (American Family Insurance)",American Family Insurance,Captive,https://www.amfam.com/agents/kansas/kansas-city/larry-gallagher,(913) 334-1122,,8151 State Ave,Kansas City,KS,Wyandotte,66112,2026-08-23,"Direct fetch of amfam.com's Kansas City, KS agent-locator JSON data, which lists Larry Gallagher (agency legal name 'Kevin Gallagher Agency, Inc.') with this exact primary WORK_ADDRESS, zip, and phone. American Family is a single-carrier captive offering personal auto. Distinct from the already-listed Chris Rhodes, David Pierce, and Michael Holloway AmFam agents."
Kyle Wright,Kyle Wright Ins Agcy Inc,State Farm,Captive,https://www.kylewrightsf.com,(913) 334-4464,,8040 Parallel Parkway Suite 250,Kansas City,KS,Wyandotte,66112,2026-08-23,"State Farm official agent locator (statefarm.com/agent/us/ks/kansas-city and agent's individual page); address confirmed on KS side (66112, Wyandotte County), not Kansas City, MO"
Mario Giraldo,Mario Giraldo - State Farm Insurance Agent,State Farm,Captive,https://www.legendsmariosf.com,(913) 334-9400,,10940 Parallel Parkway Suite J,Kansas City,KS,Wyandotte,66109,2026-08-23,"State Farm official agent locator (statefarm.com/agent/us/ks/kansas-city and agent's individual page); address confirmed on KS side (66109, Wyandotte County), not Kansas City, MO"
,Matrix Insurance,Independent / Multiple Carriers,Independent,http://matrixagency.com/,(913) 515-2222,,4208 Rainbow Blvd,Kansas City,KS,Wyandotte,66103,2026-08-23,"Zip 66103 (parsed from full address string) confirms Kansas City, KS. Verified via matrixagency.com, which lists this Kansas City, KS office and advertises comparing '100+ companies' for auto insurance; no single carrier named, so classified Independent."
Michelle Dissmeyer,Michelle Dissmeyer & Associates LLC (American Family Insurance),American Family Insurance,Captive,https://www.amfam.com/agents/kansas/kansas-city/michelle-dissmeyer,(913) 299-3000,,8160 Parallel Pkwy Ste 102,Kansas City,KS,Wyandotte,66112,2026-08-23,"Direct fetch of amfam.com's Kansas City, KS agent-locator JSON data, which lists Michelle Dissmeyer & Associates LLC with this exact primary WORK_ADDRESS, zip, and phone. American Family is a single-carrier captive offering personal auto."
Michael Holloway,"Mike Holloway Agency, Inc.",American Family Insurance,Captive,https://www.amfam.com/agents/kansas/bonner-springs/michael-holloway,(913) 441-3336,,11627 K-32 Hwy,Bonner Springs,KS,Wyandotte,66012,2026-08-23,"American Family official agent page (amfam.com/agents/kansas/bonner-springs/michael-holloway), cross-verified against Google Places listing at same address/phone"
,Morales Insurance Agency,American Family Insurance,Captive,,(913) 321-4492,,1239 Central Ave,Kansas City,KS,Wyandotte,66102,2026-08-23,"Zip-verified KS-side (66102); corroborated via MapQuest, YellowPages, Superpages, and Yahoo Local listings at same address/phone; Superpages notes 24 years in business and links affiliated site amfam.com, confirming American Family captive-agent status"
,R&S Agency Inc,Independent / Multiple Carriers,Independent,http://www.rs-agency.com/,(913) 766-1590,,44 S 7th St,Kansas City,KS,Wyandotte,66101,2026-08-23,"Zip 66101 (parsed from full address string) confirms Kansas City, KS. Verified via rs-agency.com, which lists this Kansas City, KS office (among several KS/MO offices) and advertises 'aseguranza de tu auto' (auto insurance); no single carrier named, so classified Independent."
,"Romo Seguros B & R, Inc.","Independent (Kemper Specialty, Metropolitan Auto and Home, Progressive, Safeco, Traders, Travelers)",Independent,,(913) 258-5586,rromo2818@gmail.com,209 N 18th St,Kansas City,KS,Wyandotte,66102,2026-08-23,"Superpages business listing (rich General Info profile): independent, Spanish-language-friendly agency 'near the intersection of 18th Street and Central Ave in Kansas City KS' (matches 209 N 18th St, 66102 address from a companion listing), 25 years in business, explicitly offers Auto Insurance among many lines, named carriers Kemper Specialty/Metropolitan Auto and Home/Progressive/Safeco/Traders/Travelers, and a personal Gmail contact. A same-named lead-gen domain (carinsurancekansascity.com) was found to actually redirect to an unrelated Johnson County (Merriam, KS) company and was NOT used as a source or for the website field, which was left blank rather than publish a mismatched link."
,Ruth & Associates Business Solutions,Independent / Multiple Carriers,Independent,https://www.rmbusinesssolutions.com,(913) 942-0088,info@rmbusinesssolutions.com,"1718 Central Ave, Suite B, 2nd Floor",Kansas City,KS,Wyandotte,66102,2026-08-23,"BBB.org business search (bbb.org, category: Insurance Agency, KS-side address confirmed) + agency website (rmbusinesssolutions.com) confirming multi-carrier appointments and a 'Personal Auto & Home' service line"
Tara Myers,Shelter Insurance - Tara Myers,Shelter Insurance,Captive,https://www.shelterinsurance.com/CA/agent/TMYERS,(913) 422-2550,,300 Oak St Ste. C,Bonner Springs,KS,Wyandotte,66012,2026-08-23,"Google Places API (live query ""Shelter Insurance in Bonner Springs, KS"", 2026-08-23) - only Shelter agent found across all 4 target cities; shelterinsurance.com blocks direct fetch (Cloudflare 403) so the agent page URL is from the Places listing, not independently re-verified"
Sonya Castillo,Sonya Castillo - American Family Insurance,American Family Insurance,Captive,https://www.amfam.com/agents/kansas/salina/sonya-castillo,(913) 242-3727,,2119 Minnesota Ave,Kansas City,KS,Wyandotte,66102,2026-08-23,"Superpages listing (2119 Minnesota Ave, KCK 66102) cross-verified against direct fetch of Sonya Castillo's own official amfam.com agent-profile JSON, which lists this exact address as her SATELLITE_1_ADDRESS office (landmark note: 'Next to Wyandotte High School'), phone 9132423727, hours M-F 9-5. Her primary office is in Salina, KS, but this Wyandotte County satellite office is real and confirmed. A second Superpages listing at the same address/phone under 'Neuschafer & Associates, Inc.' (a different AmFam agent) could NOT be corroborated by his own amfam.com profile (no KCK address found there) and was excluded as likely stale data."
,State Farm,State Farm Mutual Automobile Insurance Company,Captive,,(913) 371-8414,,7925 State Ave,Kansas City,KS,Wyandotte,66112,2026-08-23,"Zip 66112 confirms Kansas City, KS. Listing name is State Farm's own legal auto-insurance underwriting entity name (single-carrier captive selling personal auto); the specific local agent's personal name could not be identified with available tools, so agent_name left blank."
Tom Rich,Tom Rich Insurance,"Traders, Travelers, Dairyland, National General, Key, Progressive",Independent,http://tomrichinsurance.com/,(913) 281-0808,tomrichinsurance@hotmail.com,1057 Minnesota Ave,Kansas City,KS,Wyandotte,66101,2026-08-23,"Zip 66101 (parsed from full address string) confirms Kansas City, KS. Verified via tomrichinsurance.com: owner-operated independent agency offering personal auto insurance through the listed carriers; published email confirmed on site."
Tonya Yadon,Tonya Yadon - Farmers Insurance,Farmers Insurance,Captive,,(913) 299-8280,,1135 N 75th Dr,Kansas City,KS,Wyandotte,66112,2026-08-23,"Superpages business listing with address, phone, and fax (913-299-0670), linking to an agents.farmers.com/ks/kansas-city/tonya-yadon URL matching Farmers' standard agent-page naming convention (as used by the already-verified John Amaro entry). The live agent page redirected to a generic city listing page during this session's fetch (the same redirect behavior was also observed, inconsistently, on the already-verified Gregory Darnell URL), so it was not independently re-confirmed and the website field was left blank rather than publish an unconfirmed link. Farmers is a single-carrier captive offering personal auto."
,Toro Insurance Agency,"Independent (American Modern, Dairyland, Foremost, Openly, Progressive, Safeco)",Independent,https://toroia.com,(913) 933-3358,info@toroia.com,"1211 Minnesota Ave, Suite 100",Kansas City,KS,Wyandotte,66102,2026-08-23,"Trusted Choice agent directory (trustedchoice.com) listing + agency website (toroia.com) confirming address, personal auto insurance, and carrier list"
,Truck Insurance Mart (Relation Insurance),Independent / Multiple Carriers,Independent,https://www.relationinsurance.com/locations/kansas/10027-woodend-rd-edwardsville-ks-66111/,(913) 441-0349,,10027 Woodend Rd,Edwardsville,KS,Wyandotte,66111,2026-08-23,Liberty Mutual and Progressive agent-locator listings (both describe it as an independent agent) + Relation Insurance Services location page confirming address and personal 'Auto & Motorcycle Insurance' offering
,V & A Multiservices Insurance,Independent / Multiple Carriers (unspecified),Independent,https://www.vamultiservices.com,(913) 573-2115,reception@va-multiservices.com,1519 Minnesota Ave,Kansas City,KS,Wyandotte,66102,2026-08-23,"Verified via agency's own website (vamultiservices.com), which lists this Kansas City, KS office (1519 Minnesota Ave) as distinct from a separate Grandview, MO office, and confirms 'seguro de auto' (auto insurance) among its personal/commercial lines. Distinct business from the already-listed 'Valle Multi Service and Insurance LLC' (611 Central Ave) - different name, different address, different owner."
,Valle Multi Service and Insurance LLC,Independent / Multiple Carriers,Independent,https://vallemultiservice.com/,(913) 701-8334,,611 Central Ave,Kansas City,KS,Wyandotte,66101,2026-08-23,"Zip 66101 (parsed from full address string) confirms Kansas City, KS. Verified via vallemultiservice.com, which confirms this address and offers personal auto (liability & full coverage) plus SR-22; no single carrier named, so classified Independent."
