agent_name,agency_name,company,agent_type,offers_auto,offers_home,website,phone_number,email,street_address,city,state,county,zip_code,date_pulled,source
Andy Fischer,Farm Bureau Financial Services: Andy Fischer,Kansas Farm Bureau (Farm Bureau Financial Services),Captive,Yes,Yes,https://www.fbfs.com/find-an-agent/andyfischer,(785) 320-2295,,8200 S Port Dr #109,Manhattan,KS,Riley,66502,2026-08-24,"Google Places (name/address/phone/website confirmed via Place Details); direct fetch of fbfs.com locator for Manhattan, KS returned no results (agents not indexed by that query)"
Joe Wilson,Farm Bureau Financial Services: Joe Wilson,Kansas Farm Bureau (Farm Bureau Financial Services),Captive,Yes,Yes,https://www.fbfs.com/find-an-agent/joewilson,(785) 537-0339,,2815 Anderson Ave C,Manhattan,KS,Riley,66502,2026-08-24,"Google Places (name/address/phone/website confirmed via Place Details); direct fetch of fbfs.com locator for Manhattan, KS returned no results (agents not indexed by that query)"
Mikeal Hodges,Farm Bureau Financial Services: Mikeal Hodges,Kansas Farm Bureau (Farm Bureau Financial Services),Captive,Yes,Yes,https://mikealhodges.fbfsagents.com/,(785) 537-9393,,1927 Fort Riley Blvd,Manhattan,KS,Riley,66502,2026-08-24,"Google Places (name/address/phone/website confirmed via Place Details), agent profile hosted on fbfsagents.com; direct fetch of fbfs.com locator returned no Manhattan results and agent site had an expired TLS cert on fetch"
Steve Brazil,Farmers Insurance - Steve Brazil,Farmers Insurance,Captive,Yes,Yes,http://www.farmersagent.com/sbrazil,(785) 776-9595,,200 Southwind Pl Ste 201,Manhattan,KS,Riley,66503,2026-08-24,"Verified via web search confirming Steve Brazil as a Farmers Insurance captive agent at 200 Southwind Pl Ste 201, Manhattan, KS, matching the website slug 'sbrazil' in the source record."
,Fee Insurance Group,Independent / Multiple Carriers,Independent,Yes,Yes,https://feeinsurance.com,(785) 340-3500,,555 Poyntz Ave. Ste 185,Manhattan,KS,Riley,66502,2026-08-24,Manhattan Area Chamber of Commerce directory; agency website confirms independent carrier representation and lists Home/Auto & Recreational under Personal Coverage
Gene Warren,Gene Warren State Farm,State Farm,Captive,Yes,Yes,https://www.statefarm.com/agent/us/ks/manhattan/gene-warren-bflnk1ys000,(785) 776-7220,,2801 Claflin,Manhattan,KS,Riley,66502,2026-08-24,"statefarm.com/agent/us/ks/manhattan locator, cross-verified against Google Places"
,Gross Insurance Agency,Independent / Multiple Carriers,Independent,Yes,No,,(785) 776-4709,,105 S 4th St,Manhattan,KS,Riley,66502,2026-08-24,"Verified via MapQuest, Yellow Pages, and MerchantCircle listings confirming a real Manhattan auto insurance agency at 105 S 4th St, categorized 'Insurance Consultants & Analysts' (independent). The grossinsurance.com domain in the source record now resolves to an unrelated New Jersey business, so website is omitted; home insurance offering could not be confirmed, so left No."
Jason Mallory,Farmers Insurance - Jason Mallory,Farmers Insurance,Captive,Yes,Yes,https://agents.farmers.com/ks/manhattan/jason-mallory/,(785) 539-1511,,"2601 Anderson Ave, Ste 102",Manhattan,KS,Riley,66502,2026-08-24,"agents.farmers.com/ks/manhattan locator, cross-verified against Google Places"
Jon J Harper,"Jon J Harper Agency, Inc",American Family Insurance,Captive,Yes,Yes,https://www.amfam.com/agents/kansas/manhattan/jon-harper,(785) 776-1855,,701 Fort Riley Blvd,Manhattan,KS,Riley,66502,2026-08-24,"amfam.com/sitemap.xml agent URL discovery (amfam.com/agents/ks/manhattan locator page itself is JS-rendered and returned 'no agents available'), cross-verified against Google Places"
Josh Salmans,Josh Salmans Ins Agency Inc,State Farm,Captive,Yes,Yes,https://www.statefarm.com/agent/us/ks/manhattan/josh-salmans-1mjf42gl000,(785) 776-8754,,511 Leavenworth St,Manhattan,KS,Riley,66502,2026-08-24,"statefarm.com/agent/us/ks/manhattan locator, cross-verified against Google Places"
Karl Kunz,Karl Kunz Ins and Fin Svcs Inc,State Farm,Captive,Yes,Yes,https://www.statefarm.com/agent/us/ks/manhattan/karl-kunz-zglxp1ys000,(785) 776-3800,,1325 Poyntz Avenue,Manhattan,KS,Riley,66502,2026-08-24,"statefarm.com/agent/us/ks/manhattan locator, cross-verified against Google Places"
Kasandra Cavender,Farmers Insurance - Kasandra Cavender,Farmers Insurance,Captive,Yes,Yes,https://agents.farmers.com/ks/manhattan/kasandra-cavender/,(785) 236-5995,,"200 Southwind Pl, Ste 102",Manhattan,KS,Riley,66503,2026-08-24,"agents.farmers.com/ks/manhattan locator, cross-verified against Google Places"
Kevin Bryant,Kevin Bryant Ins Agcy Inc,State Farm,Captive,Yes,Yes,https://www.statefarm.com/agent/us/ks/manhattan/kevin-bryant-m25w95hfvak,(785) 537-1809,,"1115 Westport Drive, Suite A",Manhattan,KS,Riley,66502,2026-08-24,"statefarm.com/agent/us/ks/manhattan locator, cross-verified against Google Places"
Lacey Kramer,Kramer Agency & Associates LLC,American Family Insurance,Captive,Yes,Yes,https://www.amfam.com/agents/kansas/manhattan/lacey-kramer,(785) 776-4518,,5410 Ledge Stone Dr # 110,Manhattan,KS,Riley,66503,2026-08-24,"amfam.com/sitemap.xml agent URL discovery (amfam.com/agents/ks/manhattan locator page itself is JS-rendered and returned 'no agents available'), cross-verified against Google Places"
,Nationwide Insurance,Independent / Multiple Carriers (incl. Nationwide),Independent,Yes,Yes,https://www.nationwide.com,(785) 456-2240,,601 S 5th St,Manhattan,KS,Riley,66502,2026-08-24,"Foursquare listing; Nationwide is a nationally recognized captive carrier confirmed to offer personal auto and home insurance. Local agent's name could not be identified (Nationwide agency-locator page for this address returned 404, search budget exhausted)."
Elizabeth Palmer,Palmer Agency (Farmers Insurance),Farmers Insurance,Captive,Yes,Yes,https://agents.farmers.com/ks/saint-marys/elizabeth-palmer/,(785) 776-7199,,226 Poyntz Ave,Manhattan,KS,Riley,66502,2026-08-24,"Google Places listing 'Farmers insurance Elizabeth Palmer' at 226 Poyntz Ave, Manhattan (operational, distinct phone from her primary Saint Marys office); her official agents.farmers.com profile is registered under Saint Marys, KS but confirms a Manhattan branch office at this address. Not returned by the agents.farmers.com/ks/manhattan locator page itself."
,Pray Family Agency,Allstate,Captive,Yes,Yes,https://agents.allstate.com/pray-family-agency-manhattan-ks.html,(785) 537-4101,,"409 Poyntz Ave, Ste A",Manhattan,KS,Riley,66502,2026-08-24,Google Places API (agents.allstate.com locator was Cloudflare-blocked / returned HTTP 403 with a JS challenge page); website URL confirmed as an official agents.allstate.com page
,Raleigh Insurance Agency,Independent / Multiple Carriers,Independent,Yes,Yes,http://www.raleighinsurance.biz,(877) 874-1005,fletcher@raleighinsurance.biz,121 N 8th St,Manhattan,KS,Riley,66502,2026-08-24,"Verified via raleighinsurance.biz (confirms personal auto/home/life lines, independent multi-carrier, established 1965, lists Manhattan as a service area) and a MapQuest listing confirming a physical office at 121 N 8th St, Manhattan, KS."
Dillon Schwerdt,Schwerdt & Associates Inc.,American Family Insurance,Captive,Yes,Yes,https://www.amfam.com/agents/kansas/manhattan/dillon-schwerdt,(785) 539-6949,,201 S Seth Child Rd,Manhattan,KS,Riley,66502,2026-08-24,"amfam.com/sitemap.xml agent URL discovery (amfam.com/agents/ks/manhattan locator page itself is JS-rendered and returned 'no agents available'), cross-verified against Google Places"
Larry Scoville,Scoville Insurance & Invstmnt,"Independent (Allstate, Progressive, State Farm, Prudential, MetLife, Ethos)",Independent,Yes,Yes,,(785) 776-6823,,513 Leavenworth St Ste A,Manhattan,KS,Riley,66502,2026-08-24,"Verified via insuranceproviders.com listing showing Larry Scoville as manager, multiple represented-carrier logos (independent agency), and auto/home/life/business product lines; phone matches input record exactly."
Brian Nelson,Shelter Insurance - Brian Nelson,Shelter Insurance,Captive,Yes,Yes,https://www.shelterinsurance.com/CA/agent/BRIANNELSON,(785) 776-7751,,2048 Tuttle Creek Blvd Ste B2,Manhattan,KS,Riley,66502,2026-08-24,Google Places (name/address/phone/website confirmed via Place Details) matched to shelterinsurance.com agent profile URL; direct fetch of shelterinsurance.com locator returned HTTP 403
Joe McCarthy,Shelter Insurance - Joe McCarthy,Shelter Insurance,Captive,Yes,Yes,https://www.shelterinsurance.com/CA/agent/JMCCARTHY,(785) 537-1122,,2048 Tuttle Creek Blvd Ste B1,Manhattan,KS,Riley,66502,2026-08-24,Google Places (name/address/phone/website confirmed via Place Details) matched to shelterinsurance.com agent profile URL; direct fetch of shelterinsurance.com locator returned HTTP 403
Mike Bean,Shelter Insurance - Mike Bean,Shelter Insurance,Captive,Yes,Yes,https://www.shelterinsurance.com/CA/agent/MBEAN,(785) 537-1718,,2308 Anderson Ave,Manhattan,KS,Riley,66502,2026-08-24,Google Places (name/address/phone/website confirmed via Place Details) matched to shelterinsurance.com agent profile URL; direct fetch of shelterinsurance.com locator returned HTTP 403
Tim Engle,"Tim Engle Agency, Inc.",American Family Insurance,Captive,Yes,Yes,https://www.amfam.com/agents/kansas/manhattan/tim-engle,(785) 539-9200,,3320 Anderson Ave,Manhattan,KS,Riley,66503,2026-08-24,"amfam.com/sitemap.xml agent URL discovery (amfam.com/agents/ks/manhattan locator page itself is JS-rendered and returned 'no agents available'), cross-verified against Google Places"
,Tyner Insurance Group Inc.,"Independent / Multiple Carriers (incl. Progressive, State Auto, Travelers, Berkshire Hathaway)",Independent,Yes,Yes,https://tynerinsurancegroup.com,(785) 539-1101,,613 Stadel Rd,Manhattan,KS,Riley,66503,2026-08-24,Manhattan Area Chamber of Commerce directory; agency website locations page confirms Manhattan office and lists Auto/Home/Renters coverage among 40+ carrier partners
Rob Wild,Wild & Associates LLC,American Family Insurance,Captive,Yes,Yes,https://www.amfam.com/agents/kansas/manhattan/rob-wild,(785) 560-3004,,1601 Poyntz Ave,Manhattan,KS,Riley,66502,2026-08-24,"amfam.com/sitemap.xml agent URL discovery (amfam.com/agents/ks/manhattan locator page itself is JS-rendered and returned 'no agents available'), cross-verified against Google Places"
